Feature,Importance
pose_13_y,0.48027408
pose_83_y,0.472124
pose_61_y,0.46587893
pose_64_x,0.45868954
pose_45_y,0.45850942
pose_31_y,0.4567688
pose_93_y,0.45662203
pose_39_y,0.45641002
pose_126_x,0.45593908
pose_104_x,0.45445397
pose_16_x,0.45355877
pose_47_y,0.4529823
pose_35_y,0.45217448
pose_8_x,0.45150164
pose_60_x,0.45138323
pose_75_y,0.45088583
pose_51_y,0.45047528
pose_74_x,0.4503843
pose_32_x,0.44789758
pose_53_y,0.44765738
pose_55_y,0.44764063
pose_76_x,0.44645157
pose_123_y,0.44639364
pose_125_y,0.44606915
pose_87_y,0.44568145
pose_21_y,0.44450918
pose_101_y,0.44402072
pose_112_x,0.44399667
pose_23_y,0.44379836
pose_100_x,0.4435461
pose_112_x,0.4433642
pose_62_x,0.44285476
pose_90_x,0.44266912
pose_75_y,0.442562
pose_98_x,0.4418948
pose_21_y,0.44187766
pose_9_y,0.44076502
pose_28_x,0.44058296
pose_14_x,0.43945724
pose_66_x,0.4390807
pose_90_x,0.43875402
pose_31_y,0.43860102
pose_5_y,0.43858817
pose_119_y,0.43844518
pose_54_x,0.4382126
pose_101_y,0.43777177
pose_121_y,0.43771753
pose_7_y,0.4373906
pose_79_y,0.43701306
pose_109_y,0.43693846
pose_114_x,0.43690014
pose_46_x,0.4365762
pose_0_x,0.4363417
pose_12_x,0.4355236
pose_65_y,0.4354868
pose_69_y,0.43540773
pose_99_y,0.4351621
pose_88_x,0.43469703
pose_50_x,0.43466234
pose_13_y,0.43455842
pose_67_y,0.43447402
pose_20_x,0.4344616
pose_60_x,0.43398646
pose_57_y,0.4338004
pose_52_x,0.4337904
pose_121_y,0.43354237
pose_70_x,0.43317387
pose_56_x,0.43283528
pose_53_y,0.4326718
pose_118_x,0.43241796
pose_73_y,0.4323141
pose_102_x,0.43222746
pose_37_y,0.4317412
pose_106_x,0.4315279
pose_110_x,0.43149954
pose_49_y,0.43147
pose_48_x,0.43058112
pose_27_y,0.43033957
pose_0_x,0.42992482
pose_22_x,0.42990944
pose_123_y,0.4296821
pose_24_x,0.42960164
pose_91_y,0.42834547
pose_122_x,0.42806527
pose_124_x,0.42780754
pose_7_y,0.4277228
pose_106_x,0.42753276
pose_120_x,0.42741683
pose_77_y,0.42736652
pose_117_y,0.42734474
pose_10_x,0.42724508
pose_78_x,0.42705536
pose_110_x,0.42622542
pose_19_y,0.42621174
pose_89_y,0.42594942
pose_26_x,0.42544833
pose_95_y,0.42541173
pose_43_y,0.42537326
pose_14_x,0.42531466
pose_107_y,0.42511165
pose_93_y,0.42496723
pose_118_x,0.4244597
pose_6_x,0.42439094
pose_11_y,0.42437193
pose_67_y,0.42419586
pose_74_x,0.4236893
pose_40_x,0.42363945
pose_105_y,0.42359757
pose_113_y,0.42354888
pose_36_x,0.42342
pose_42_x,0.42312324
pose_115_y,0.4227848
