frame,x_pose_0,y_pose_0,visibility_pose_0,x_pose_1,y_pose_1,visibility_pose_1,x_pose_2,y_pose_2,visibility_pose_2,x_pose_3,y_pose_3,visibility_pose_3,x_pose_4,y_pose_4,visibility_pose_4,x_pose_5,y_pose_5,visibility_pose_5,x_pose_6,y_pose_6,visibility_pose_6,x_pose_7,y_pose_7,visibility_pose_7,x_pose_8,y_pose_8,visibility_pose_8,x_pose_9,y_pose_9,visibility_pose_9,x_hand1_0,y_hand1_0,z_hand1_0,x_hand1_1,y_hand1_1,z_hand1_1,x_hand1_2,y_hand1_2,z_hand1_2,x_hand1_3,y_hand1_3,z_hand1_3,x_hand1_4,y_hand1_4,z_hand1_4,x_hand1_5,y_hand1_5,z_hand1_5,x_hand2_0,y_hand2_0,z_hand2_0,x_hand2_1,y_hand2_1,z_hand2_1,x_hand2_2,y_hand2_2,z_hand2_2,x_hand2_3,y_hand2_3,z_hand2_3,x_hand2_4,y_hand2_4,z_hand2_4,x_hand2_5,y_hand2_5,z_hand2_5
0,0.6192296743392944,0.6306554675102234,0.9999600648880005,0.5306534171104431,0.6262893080711365,0.9997332692146301,0.6410180330276489,0.6640422940254211,0.8848708271980286,0.48535415530204773,0.6653994917869568,0.9580077528953552,0.634795606136322,0.6655075550079346,0.8222978115081787,0.5151370763778687,0.6840503811836243,0.7993961572647095,0.5852044820785522,0.7106921672821045,0.9985024929046631,0.5321358442306519,0.7051382064819336,0.9974321722984314,0.5904274582862854,0.77752286195755,0.928382396697998,0.5405721068382263,0.774047315120697,0.9607148766517639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.614896833896637,0.6305413246154785,0.9999454021453857,0.5307148098945618,0.6249726414680481,0.9997294545173645,0.6375696063041687,0.6647641658782959,0.8796837329864502,0.4888318181037903,0.6641637682914734,0.9593574404716492,0.6310592293739319,0.6638627648353577,0.8241985440254211,0.5408766865730286,0.6709015965461731,0.8085510730743408,0.5863447189331055,0.7105050683021545,0.9984243512153625,0.5370326042175293,0.7056135535240173,0.9973154067993164,0.5915402770042419,0.7740219235420227,0.9232393503189087,0.554793655872345,0.7710827589035034,0.9617713093757629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6110897064208984,0.62941575050354,0.9999152421951294,0.5334652066230774,0.6183768510818481,0.9997055530548096,0.6340178847312927,0.6647223830223083,0.8587859869003296,0.5065662264823914,0.659755289554596,0.9581211805343628,0.6282404065132141,0.6601601839065552,0.8111646771430969,0.5704025030136108,0.6621946096420288,0.8126635551452637,0.5863334536552429,0.7053865194320679,0.9984530806541443,0.5379462242126465,0.7012581825256348,0.9973563551902771,0.592241644859314,0.7690339088439941,0.9074558019638062,0.5734436511993408,0.7622203230857849,0.9617244005203247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.6085226535797119,0.6251929402351379,0.9999014735221863,0.5380202531814575,0.6108752489089966,0.9997117519378662,0.6331596374511719,0.6617664694786072,0.8329493403434753,0.5438498258590698,0.6467558741569519,0.9553333520889282,0.6216086149215698,0.6520121097564697,0.7944033741950989,0.5902426242828369,0.6439447402954102,0.8191373348236084,0.5835117101669312,0.6983991861343384,0.9985519051551819,0.5360440015792847,0.6930980086326599,0.997533917427063,0.6009849309921265,0.7654697895050049,0.8933625221252441,0.5753369927406311,0.7556670308113098,0.962480902671814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5985292792320251,0.6163173913955688,0.9999009370803833,0.548162043094635,0.605503499507904,0.9997380375862122,0.6306631565093994,0.6520706415176392,0.797715961933136,0.574889600276947,0.6501012444496155,0.9572466015815735,0.6171107292175293,0.6424057483673096,0.7612892389297485,0.5938733816146851,0.6401562094688416,0.8276334404945374,0.5729508399963379,0.6937767267227173,0.9986667633056641,0.5371940732002258,0.6903711557388306,0.9977471828460693,0.596114993095398,0.7641915082931519,0.8614851236343384,0.5807501673698425,0.7558204531669617,0.964655876159668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5715742111206055,0.6039484739303589,0.9997873306274414,0.5630106925964355,0.6004605889320374,0.999758243560791,0.5972042679786682,0.6415814161300659,0.7228635549545288,0.6160261034965515,0.6419318914413452,0.9565852880477905,0.5930414795875549,0.6356858611106873,0.6887010931968689,0.6067259907722473,0.6281492114067078,0.8190690279006958,0.5614244937896729,0.686992883682251,0.9986724257469177,0.5477046370506287,0.6871491074562073,0.9978271126747131,0.5870070457458496,0.7557989954948425,0.7931104302406311,0.5881193280220032,0.7565978169441223,0.9589663743972778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5600202083587646,0.5967609286308289,0.999679684638977,0.5770355463027954,0.591886043548584,0.9997787475585938,0.5846818089485168,0.6374614238739014,0.6569141745567322,0.6270322203636169,0.6329993605613708,0.9540642499923706,0.5889697670936584,0.6276127099990845,0.6234599351882935,0.6160882115364075,0.6210442185401917,0.7996641397476196,0.5558659434318542,0.6823649406433105,0.9985783100128174,0.5620537996292114,0.6825597286224365,0.9979604482650757,0.5815685987472534,0.7512138485908508,0.7251784205436707,0.5876690745353699,0.756535530090332,0.9522520303726196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5569626092910767,0.5923647880554199,0.999591052532196,0.5836234092712402,0.5833744406700134,0.9997961521148682,0.5889915823936462,0.6327643990516663,0.5978687405586243,0.6295784115791321,0.6241171360015869,0.9513465166091919,0.5951837301254272,0.6207525134086609,0.5645893216133118,0.6215198040008545,0.6180824637413025,0.7708998322486877,0.5517266392707825,0.6824275255203247,0.9985859394073486,0.564551830291748,0.6808299422264099,0.9980319738388062,0.5796381831169128,0.7520323991775513,0.6790494322776794,0.5935676693916321,0.7573333978652954,0.953116238117218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5488877892494202,0.587608814239502,0.9994529485702515,0.5914355516433716,0.5771573185920715,0.9998134970664978,0.5623930096626282,0.6265239119529724,0.5439946055412292,0.6328322887420654,0.6181691288948059,0.946699321269989,0.5750253796577454,0.6321133375167847,0.5100642442703247,0.6115012764930725,0.629433274269104,0.7485737800598145,0.5470377802848816,0.6806286573410034,0.9986079335212708,0.5685856938362122,0.6779662370681763,0.9981457591056824,0.5648572444915771,0.7513567805290222,0.647284984588623,0.6079668402671814,0.7568290829658508,0.9555442929267883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.5432500839233398,0.5821462273597717,0.9993491768836975,0.5970743894577026,0.572306752204895,0.9998247623443604,0.5697624087333679,0.6208055019378662,0.4962506592273712,0.6420325040817261,0.615108847618103,0.9385312795639038,0.5835357904434204,0.6213355660438538,0.461490660905838,0.6309022903442383,0.6112062335014343,0.7043374180793762,0.5432454347610474,0.6771416068077087,0.998568058013916,0.5744569301605225,0.6754809617996216,0.9982028007507324,0.5610836148262024,0.7477610111236572,0.6211065649986267,0.6218738555908203,0.755275547504425,0.9563742280006409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
